regNum;fullTitle;dept;dNum;titleString;day;time1;time2;location;building;room;credit;enrollment;available;max;distributions;distCode;distDescription;prerequisites;description
13958;AFR 207 Images of Africana People Through the Cinema;AFR;207;Images of Africana People Through the Cinema;T;07:00 pm;09:30 pm ;Founders Hall-120;Founders Hall;120;1;22;3;25;;ARS;Arts, Music, Theatre, Film and Video;(s);An investigation of the social, political, and cultural aspects of development of Africana people through the viewing and analysis of films from Africa, Afro-America, Brazil, and the Caribbean. The class covers pre-colonial, colonial, and postcolonial experiences and responses of Africana people. Films shown will include Sugar Cane Alley</em>, Zan</em> Boko</em>, and Sankofa</em>.
13813;AFR 217 The Black Family;AFR;217;The Black Family;TF;11:10 am;12:20 pm ;Clapp Library-141;Clapp Library;141;1;2;28;30;;SBA;Social and Behavioral Analysis;(s);This course is an overview of the African American family in economic, sociological, psychological, economic, anthropological, and historical perspective. It is an examination of the complex interplay of self-definitions, societal, and community definitions among African American women, men, and children within the context of their families. The course is also an exploration of changing gender roles among African American women and men.
13812;AFR 225 Introduction to Black Psychology;AFR;225;Introduction to Black Psychology;W;07:00 pm;09:30 pm ;Founders Hall-319;Founders Hall;319;1;17;13;30;;SBA;Social and Behavioral Analysis;(s);Issues and perspectives in the study of the psychological development of Black people in America, past and present. Special consideration is given to such issues as the Afrocentric and Eurocentric ethos, the nature of Black personality as affected by slavery and racism, psychological assessment, treatment and counseling techniques, and the relationships between psychological research and social policy in American research.
13960;AFR 234 Introduction to West Indian Literature;AFR;234;Introduction to West Indian Literature;M;07:00 pm;09:30 pm ;Founders Hall-305;Founders Hall;305;1;4;21;25;;LL;Language and Literature;(s);A survey of contemporary prose and poetry from the English-speaking West Indies. Special attention is paid to the development of this literary tradition in a historical-cultural context and in light of recent literary theories. Authors to include V.S. Naipaul, Derek Walcott, Wilson Harris, Jean Rhys, and others.
13961;AFR 255 The Black Woman Cross-Culturally: Gender Dynamics in the Africana World;AFR;255;The Black Woman Cross-Culturally: Gender Dynamics in the Africana World;MTh;01:30 pm;02:40 pm ;Founders Hall-319;Founders Hall;319;1;5;25;30;;SBA;Social and Behavioral Analysis;(s);This course uses a multidisciplinary approach to examine theories and socio-cultural analyses of the lives, experiences, challenges and contributions of Black women from a cross-cultural perspective. Case studies will examine gender theories and gender dynamics in North and South America, the Caribbean, Europe, Asia and Africa. The course will interrogate women's evolving positions and gender relations and analyze the legacies of slavery, colonialism, nationalism and liberation struggles within a post-slavery, post-colonial and post-modern context.
13592;AFR 297 Medical Anthropology: A Comparative Study of Healing Systems;AFR;297;Medical Anthropology: A Comparative Study of Healing Systems;W;02:15 pm;04:45 pm ;Founders Hall-307;Founders Hall;307;1;21;9;30;;SBA;Social and Behavioral Analysis;(s);This course examines alternative healing systems that attempt to treat the whole person as a physical, social, and spiritual being and to promote community participation and healing. It offers new perspectives on the biomedical model as it examines the sociocultural context of the causes, diagnosis, prevention, and cure of disease. Examples of healing systems will be taken from Third World countries, particularly in Africa, the Caribbean, and Latin America, and from industrialized societies, particularly from African American and indigenous communities in the United States. Examination will be made of healing systems that include divination, herbal medicine, folk medicine, and faith healing.
13962;AFR 311 African Pentecostalism: Prophecy, Sorcery and Healing;AFR;311;African Pentecostalism: Prophecy, Sorcery and Healing;M;02:50 pm;05:20 pm ;Founders Hall-227;Founders Hall;227;1;8;7;15;;REP;Religion, Ethics and Moral Philosophy;(s);The seminar offers a critical examination of the history, theologies, leadership styles, and structure of neo-Pentecostal charismatic movements in both continental and diasporan Africa. It focuses on African Pentecostal communities that inhabit translocal spaces in the U.S., U.K., France, and the Netherlands. This course integrates theory and praxis to help students develop analytic skills to evaluate African notions of mystical power, framed within global Pentecostalism that deals with suffering, death, hope, and healing.
10596;AMST 101 Introduction to American Studies;AMST;101;Introduction to American Studies;TF;09:50 am;11:00 am ;Founders Hall-207;Founders Hall;207;1;24;1;25;;HS;Historical Studies;(s);An interdisciplinary examination of some of the varieties of American experience, aimed at developing a functional vocabulary for further work in American Studies or related fields. After a brief review of American history, the course will direct its focus toward important moments in that history, investigating each of them in relation to selected cultural, historical, artistic, and political events, figures, institutions, and texts. Course topics include ethnic and gender studies, consumption and popular culture, urban and suburban life, and contemporary American literature.
14208;AMST 151 The Asian American Experience;AMST;151;The Asian American Experience;TF;11:10 am;12:20 pm ;Pendleton Hall East-339;Pendleton Hall East;339;1;31;19;50;;HS;REP;(s);An interdisciplinary introduction to the study of Asian Americans, the fastest-growing ethnic group in North America. Critical examination of different stages of their experience from "coolie labor" and the "yellow peril" to the "model minority" and struggles for identity| roots of Asian stereotypes| myth and reality of Asian women| prejudice against, among, and by Asians| and Asian contributions to a more pluralistic, tolerant, and just American society. Readings, films, lectures, and discussions.
14068;AMST 161 Latinas/os in the U.S.;AMST;161;Latinas/os in the U.S.;MTh;11:10 am;12:20 pm ;Pendleton Hall East-216;Pendleton Hall East;216;1;8;22;30;;SBA;Social and Behavioral Analysis;(s);Latinas/os in the United States have diverse histories, cultures, and identities, yet many people in the U.S. assume a commonality among Latina/o groups. What links exist between various Latina/o groups? What are the main differences or conflicts between them? How do constructions of Latina/o identities contend with the diversity of experiences? In this course, we will examine a variety of topics and theories pertinent to the field of Latina/o Studies, including immigration, language, politics, pan-ethnicity, civil rights, racialization, border studies, media and cultural representation, gender and sexuality, and transnationalism, among other issues.
13329;AMST 246 Salsa and Ketchup: How Immigration is Changing the U.S.;AMST;246;Salsa and Ketchup: How Immigration is Changing the U.S.;MTh;11:10 am;12:20 pm ;Founders Hall-128;Founders Hall;128;1;19;11;30;;SBA;Social and Behavioral Analysis;(s);We live in a world on the move.  There are an estimated 214 million international migrants worldwide. One out of every 33 persons in the world today is a migrant. In the United States, immigrants and their children make up nearly 25 percent of the population. This course is about the changing face of the United States.  We use the Greater Boston Metropolitan area is a lab in which to explore race and ethnicity, immigration incorporation, and transnationalism. Fieldwork projects will examine how immigrants affect the economy, politics, and religion.  We will also track contemporary debates around immigration policy. 

13814;AMST 249 Celebrity, Fame, and Fortune;AMST;249;Celebrity, Fame, and Fortune;T;01:30 pm;04:00 pm ;Pendleton Hall East-327;Pendleton Hall East;327;1;10;20;30;;SBA;Social and Behavioral Analysis;(s);A critical examination of the concept of status in sociological and social-scientific thinking. Focus on the historical rise of fame and its transformation into celebrity in the modern era. The relationship of status and violence. The meaning of sudden changes in good and bad fortune as attributes of status, including contemporary examples such as lottery winners, disgraced politicians, and media-driven attention to the powerful and pathetic. Fame and celebrity among women and minorities. The psychopathologies of leadership and conformity in political, religious, and educational institutions.
13764;AMST 266 American Literature from the Civil War to the 1930s;AMST;266;American Literature from the Civil War to the 1930s;TF;01:30 pm;02:40 pm ;Founders Hall-120;Founders Hall;120;1;8;12;20;;;Language and Literature or Arts, Music, Theatre, Film and Video;(s);<strong>Topic for 2016-17: From Page to Screen: American Novels and Films</strong>|This course will focus on important Americans novels from the late nineteenth century to the mid-twentieth century, and the attempts (sometimes successful, sometimes not, but always interesting) to turn them into movies, translating them from the page to the screen. Authors to be studied will include Stephen Crane, Theodore Dreiser, Kate Chopin, Henry James, Willa Cather, Ernest Hemingway, F. Scott Fitzgerald, and Edith Wharton. For comparison and contrast, we may also consider a play (e.g., Eugene O&rsquo|Neill) and an autobiography (e.g., Malcolm X), the texts and the film adaptations. Perhaps the main question we will ask is this: Is it possible to turn a great book, especially a great novel, into a great or even a good movie?
