regNum;fullTitle;dept;dNum;titleString;day;time1;time2;credit;enrollment;available;max;distributions;distCode;distDescription;prerequisites
13958;AFR 207 Images of Africana People Through the Cinema;AFR;207;Images of Africana People Through the Cinema;T;07:00 pm;09:30 pm;1;22;3;25;;ARS;Arts, Music, Theatre, Film and Video;None;
13813;AFR 217 The Black Family;AFR;217;The Black Family;TF;11:10 am;12:20 pm;1;2;28;30;;SBA;Social and Behavioral Analysis;None. ;
13812;AFR 225 Introduction to Black Psychology;AFR;225;Introduction to Black Psychology;W;07:00 pm;09:30 pm;1;17;13;30;;SBA;Social and Behavioral Analysis;None ;
13960;AFR 234 Introduction to West Indian Literature;AFR;234;Introduction to West Indian Literature;M;07:00 pm;09:30 pm;1;4;21;25;;LL;Language and Literature;None ;
13961;AFR 255 The Black Woman Cross-Culturally: Gender Dynamics in the Africana World;AFR;255;The Black Woman Cross-Culturally: Gender Dynamics in the Africana World;MTh;01:30 pm;02:40 pm;1;5;25;30;;SBA;Social and Behavioral Analysis;None ;
13592;AFR 297 Medical Anthropology: A Comparative Study of Healing Systems;AFR;297;Medical Anthropology: A Comparative Study of Healing Systems;W;02:15 pm;04:45 pm;1;21;9;30;;SBA;Social and Behavioral Analysis;None ;
13962;AFR 311 African Pentecostalism: Prophecy, Sorcery and Healing;AFR;311;African Pentecostalism: Prophecy, Sorcery and Healing;M;02:50 pm;05:20 pm;1;8;7;15;;REP;Religion, Ethics and Moral Philosophy;None ;
10596;AMST 101 Introduction to American Studies;AMST;101;Introduction to American Studies;TF;09:50 am;11:00 am;1;24;1;25;;HS;Historical Studies;This course is required of American Studies majors and should be completed before the end of the junior year. ;
14208;AMST 151 The Asian American Experience;AMST;151;The Asian American Experience;TF;11:10 am;12:20 pm;1;31;19;50;;HS;REP;None ;
14068;AMST 161 Latinas/os in the U.S.;AMST;161;Latinas/os in the U.S.;MTh;11:10 am;12:20 pm;1;8;22;30;;SBA;Social and Behavioral Analysis;None ;
13329;AMST 246 Salsa and Ketchup: How Immigration is Changing the U.S. ;AMST;246;Salsa and Ketchup: How Immigration is Changing the U.S.;MTh;11:10 am;12:20 pm;1;19;11;30;;SBA;Social and Behavioral Analysis;None ;We live in a world on the move.  There are an estimated 214 million international migrants worldwide. One out of every 33 persons in the world today is a migrant. In the United States, immigrants and their children make up nearly 25 percent of the population. This course is about the changing face of the United States.  We use the Greater Boston Metropolitan area is a lab in which to explore race and ethnicity, immigration incorporation, and transnationalism. Fieldwork projects will examine how immigrants affect the economy, politics, and religion.  We will also track contemporary debates around immigration policy.
13814;AMST 249 Celebrity, Fame, and Fortune ;AMST;249;Celebrity, Fame, and Fortune;T;01:30 pm;04:00 pm;1;10;20;30;;SBA;Social and Behavioral Analysis;One 100-level unit or permission of the instructor. ;
13764;AMST 266 American Literature from the Civil War to the 1930s;AMST;266;American Literature from the Civil War to the 1930s;TF;01:30 pm;02:40 pm;1;8;12;20;;;Language and Literature or Arts, Music, Theatre, Film and Video;None ;
13963;AMST 281 Rainbow Republic: American Queer Culture from Walt Whitman to Lady Gaga;AMST;281;Rainbow Republic: American Queer Culture from Walt Whitman to Lady Gaga;MTh;09:50 am;11:00 am;1;19;6;25;;HS;Historical Studies;None ;
13964;AMST 290 Afro-Latinas/os in the U.S.;AMST;290;Afro-Latinas/os in the U.S.;MTh;02:50 pm;04:00 pm;1;9;11;20;;SBA;Social and Behavioral Analysis;None ;
14154;AMST 296 Diaspora and Immigration in 21st-Century American Literature;AMST;296;Diaspora and Immigration in 21st-Century American Literature;TF;09:50 am;11:00 am;1;13;17;30;;LL;Language and Literature;None ;
14173;AMST 299 American Nightmares: The Horror Film in America;AMST;299;American Nightmares: The Horror Film in America;M;W;06:30 pm;1;23;7;30;;ARS;Arts, Music, Theatre, Film and Video;None ;
13965;AMST 317 Seminar: Advanced Topics in American Studies;AMST;317;Seminar: Advanced Topics in American Studies;W;02:15 pm;04:45 pm;1;16;0;15;;;Social and Behavioral Analysis or Historical Studies;;
14160;AMST 319 Seminar: Religion, Law, and Politics in America;AMST;319;Seminar: Religion, Law, and Politics in America;W;09:50 am;12:20 pm;1;12;0;12;;HS;REP;REL 200, REL 217, REL 218, or at least one 200-level unit in American Studies or in American history, sociology, or politics| or permission of the instructor.;
10946;ANTH 104 Introduction to Cultural and Social Anthropology;ANTH;104;Introduction to Cultural and Social Anthropology;MTh;11:10 am;12:20 pm;1;16;14;30;;SBA;Social and Behavioral Analysis;None ;
13647;ANTH 206 Archaeology;ANTH;206;Archaeology;TF;11:10 am;12:20 pm;1;14;6;20;;SBA;Social and Behavioral Analysis;None ;
13966;ANTH 219 Balkan Cinematic Representations;ANTH;219;Balkan Cinematic Representations;Th;06:00 pm;08:30 pm;1;4;16;20;;SBA;Social and Behavioral Analysis;None ;
14069;ANTH 239 Visual Culture of South Asia;ANTH;239;Visual Culture of South Asia;TF;09:50 am;11:00 am;1;6;14;20;;ARS;SBA;None ;
14070;ANTH 243 The (In)Visible Native America: Past and Present;ANTH;243;The (In)Visible Native America: Past and Present;MTh;09:50 am;11:00 am;1;13;7;20;;SBA;Social and Behavioral Analysis;None ;
13968;ANTH 245 Culture, Politics, and Power: Anthropological Perspectives on Latin America;ANTH;245;Culture, Politics, and Power: Anthropological Perspectives on Latin America;MTh;02:50 pm;04:00 pm;1;6;14;20;;SBA;Social and Behavioral Analysis;None ;
12255;ANTH 301 History and Theory in Anthropology;ANTH;301;History and Theory in Anthropology;M;06:00 pm;08:30 pm;1;12;3;15;;SBA;Social and Behavioral Analysis;Two 200-level units in anthropology, economics, history, political science, or sociology, or permission of the instructor. ;
13969;ANTH 305 Ethnographic Film;ANTH;305;Ethnographic Film;T;01:30 pm;04:00 pm;1;10;5;15;;SBA;Social and Behavioral Analysis;ANTH 301 or two 200-level units in anthropology, cinema and media studies, economics, history, political science, or sociology or permission of the instructor. ;
